"rmarstat","rage","persinc2","rmany","rsect","tunionsa","ansseca","shourswk","ssuper"
2,45,48100,9,1,2,4,7,2
5,48,40300,NA,NA,2,5,NA,NA
2,71,NA,5,2,1,6,20,2
4,50,1300,NA,1,2,8,NA,NA
1,25,NA,NA,NA,1,7,NA,NA
2,61,6760,NA,NA,1,10,1,NA
1,24,NA,NA,NA,NA,10,NA,NA
1,19,NA,NA,NA,2,9,NA,NA
2,68,17160,NA,1,1,4,NA,NA
2,32,17160,NA,2,2,7,NA,NA
1,20,NA,NA,NA,2,10,NA,NA
3,40,10920,NA,NA,2,4,25,2
1,27,NA,NA,NA,2,10,NA,NA
2,61,11960,NA,1,1,6,1,2
2,NA,NA,NA,1,1,2,NA,NA
2,48,5720,NA,1,2,4,40,NA
1,32,24700,NA,NA,2,10,NA,NA
2,46,48100,NA,NA,2,5,40,1
1,27,14040,NA,1,1,7,NA,NA
1,54,6760,NA,NA,2,9,NA,NA
2,68,NA,12,1,1,3,NA,NA
1,72,10920,NA,2,2,3,NA,NA
4,45,22100,21,2,2,6,NA,NA
2,59,8840,20,2,2,6,37,NA
1,26,27300,NA,2,2,3,NA,NA
NA,62,NA,0,NA,NA,NA,NA,NA
1,26,10920,NA,2,2,4,NA,NA
1,23,6760,NA,1,2,3,NA,NA
2,41,24700,NA,NA,2,5,1,NA
6,69,7800,NA,NA,2,9,NA,NA
2,92,22100,100,2,2,3,NA,NA
6,80,22100,2,1,2,3,NA,NA
1,25,4420,12,2,1,6,NA,NA
2,58,37700,NA,1,1,4,30,1
1,36,NA,NA,2,2,8,NA,NA
2,28,5720,NA,1,2,4,50,NA
4,67,5720,NA,NA,2,9,NA,NA
2,77,11960,NA,2,1,6,NA,NA
2,34,37700,NA,1,1,3,40,NA
1,22,10920,NA,2,2,8,NA,NA
1,49,4940,NA,2,2,8,NA,NA
6,65,6760,NA,NA,1,9,NA,NA
2,25,5720,15,2,2,6,40,2
2,53,NA,NA,1,2,7,45,NA
2,65,18200,NA,2,2,8,NA,NA
1,46,NA,NA,NA,2,10,NA,NA
1,21,5720,NA,NA,2,9,NA,NA
2,79,NA,NA,NA,2,9,NA,NA
2,39,24700,130,2,2,6,20,1
2,56,NA,NA,NA,2,2,32,2
1,24,NA,NA,NA,2,8,NA,NA
2,34,20280,NA,2,2,2,28,2
1,20,10920,NA,2,2,8,NA,NA
2,59,16120,NA,NA,2,5,50,1
1,18,260,NA,NA,2,9,NA,NA
1,29,19240,NA,1,1,4,NA,NA
5,51,6760,NA,2,2,8,NA,NA
1,31,7800,NA,2,2,7,NA,NA
4,57,NA,30,1,1,3,NA,NA
5,51,8840,NA,2,2,7,NA,NA
1,19,6760,NA,NA,2,10,NA,NA
2,56,10920,NA,2,NA,8,NA,NA
2,32,17160,12,2,1,6,37,2
2,70,11960,NA,1,1,8,NA,NA
2,43,11960,NA,2,2,7,1,NA
2,34,27300,2,1,1,3,38,2
2,35,6760,NA,NA,2,10,22,2
6,43,7800,NA,2,2,7,NA,NA
2,42,24700,NA,1,1,3,42,1
1,68,5720,NA,NA,2,5,NA,NA
1,19,6760,NA,1,2,7,NA,NA
2,46,NA,NA,NA,2,5,20,2
6,68,9880,NA,NA,1,9,NA,NA
2,44,NA,2,1,1,3,1,2
2,71,NA,NA,NA,2,5,NA,NA
3,28,NA,NA,NA,2,5,1,NA
2,29,48100,NA,1,2,3,40,2
2,39,22100,NA,2,1,5,30,1
1,43,10920,NA,NA,2,10,NA,NA
1,42,NA,NA,2,NA,5,NA,NA
2,61,27300,NA,3,1,7,45,1
2,59,4940,NA,2,1,8,28,2
5,58,13000,20,1,1,3,NA,NA
2,63,42900,NA,NA,1,9,1,1
1,60,3900,NA,2,2,8,NA,NA
1,36,NA,NA,NA,2,7,NA,NA
1,67,5720,NA,2,2,3,NA,NA
2,26,NA,NA,2,2,7,1,NA
1,27,22100,NA,2,2,8,NA,NA
3,25,NA,NA,1,2,6,1,2
5,64,6760,NA,1,1,7,NA,NA
5,51,4420,NA,NA,2,10,NA,NA
2,75,11960,NA,2,2,8,NA,NA
2,62,NA,NA,1,2,8,NA,NA
1,42,NA,NA,1,1,4,NA,NA
1,19,NA,NA,NA,2,10,NA,NA
5,63,4940,NA,NA,2,10,NA,NA
2,35,32500,NA,1,1,3,40,NA
1,25,9880,NA,2,2,4,NA,NA
2,65,NA,NA,NA,NA,NA,NA,NA
1,52,13000,NA,2,2,7,NA,NA
4,60,5720,NA,NA,2,10,NA,NA
2,52,16120,NA,1,1,7,39,2
1,30,29900,8,2,2,7,NA,NA
1,30,11960,NA,2,2,7,NA,NA
6,64,15080,NA,1,1,3,NA,NA
2,66,10920,NA,2,2,7,NA,NA
2,36,NA,NA,1,1,4,40,2
2,37,35100,NA,NA,2,2,37,2
2,58,10920,3,1,1,6,37,2
5,36,4940,NA,2,1,7,NA,NA
5,35,13000,NA,NA,2,5,NA,NA
2,83,3900,NA,NA,1,9,NA,NA
5,47,NA,NA,NA,2,10,NA,NA
1,24,24700,NA,2,2,4,NA,NA
6,75,NA,NA,NA,2,9,NA,NA
6,68,14040,NA,2,2,7,NA,NA
2,38,10920,NA,1,1,3,60,1
3,27,2340,NA,2,2,7,1,NA
1,24,9880,NA,2,2,3,NA,NA
2,32,20280,NA,2,2,7,1,2
1,18,NA,NA,1,2,8,NA,NA
6,84,11960,NA,1,1,7,NA,NA
1,30,17160,11,2,1,3,NA,NA
6,72,NA,NA,NA,1,3,NA,NA
2,31,19240,NA,1,2,7,38,2
2,27,32500,8,2,2,3,40,NA
3,27,13000,NA,2,2,8,47,1
5,54,7800,NA,2,1,7,NA,NA
2,52,24700,NA,2,1,7,38,1
4,42,8840,250,2,2,3,NA,NA
1,52,NA,NA,NA,2,5,NA,NA
6,93,NA,NA,1,1,3,NA,NA
3,22,11960,NA,2,1,7,30,2
2,57,NA,NA,2,2,7,NA,NA
1,32,14040,NA,2,2,8,NA,NA
2,34,7800,NA,NA,2,3,40,NA
1,42,5720,NA,1,1,8,NA,NA
2,48,27300,2,1,1,3,40,2
2,67,29900,NA,NA,2,2,NA,NA
1,70,8840,NA,2,1,7,NA,NA
1,44,3380,NA,2,2,7,NA,NA
1,24,16120,NA,2,1,7,NA,NA
2,36,8840,NA,2,2,7,30,2
2,52,18200,NA,NA,2,3,NA,NA
2,42,NA,NA,1,1,3,40,1
5,52,6760,NA,2,2,8,NA,NA
5,42,3900,30,2,2,6,NA,NA
1,20,13000,NA,2,2,3,NA,NA
2,74,NA,NA,2,2,7,NA,NA
1,39,32500,NA,2,2,2,NA,NA
2,49,NA,1,2,1,6,30,2
4,42,11960,NA,1,2,8,NA,NA
2,43,5720,NA,1,2,8,40,1
5,65,22100,NA,NA,2,5,NA,NA
2,55,260,NA,1,2,3,40,NA
5,55,29900,82,1,1,4,NA,NA
2,49,37700,7,1,1,3,37,1
2,37,9880,NA,1,1,7,72,NA
6,80,10920,NA,1,2,4,NA,NA
5,73,NA,NA,NA,2,9,NA,NA
1,68,11960,NA,NA,2,9,NA,NA
5,46,40300,4,1,1,2,NA,NA
1,21,9880,NA,NA,2,9,NA,NA
1,25,2860,NA,2,2,7,NA,NA
4,75,7800,NA,NA,1,9,NA,NA
5,53,NA,NA,NA,1,5,NA,NA
2,59,NA,NA,1,1,4,35,2
2,59,35100,NA,NA,1,5,27,1
2,42,NA,NA,NA,1,5,40,1
1,18,NA,NA,2,2,8,NA,NA
2,26,18200,NA,2,1,4,1,NA
4,43,NA,NA,NA,2,5,NA,NA
2,50,24700,12,1,1,3,45,1
2,47,75000,NA,NA,1,2,1,NA
1,22,3380,NA,2,1,8,NA,NA
2,40,6760,4,2,2,6,37,2
2,42,27300,200,1,1,3,30,2
2,25,18200,NA,2,2,3,1,NA
2,53,22100,NA,2,1,4,35,1
2,43,22100,NA,2,1,2,24,2
1,39,5720,NA,1,2,4,NA,NA
5,51,NA,NA,NA,2,5,NA,NA
5,46,18200,NA,2,2,8,NA,NA
2,47,10920,NA,NA,1,5,40,1
2,55,9880,2,2,2,4,60,NA
6,77,9880,NA,NA,2,5,NA,NA
2,62,32500,NA,1,1,3,NA,NA
5,56,NA,NA,1,1,7,NA,NA
2,65,9880,NA,NA,1,9,NA,NA
2,42,42900,NA,NA,1,2,35,2
6,58,7800,NA,NA,2,10,NA,NA
5,42,NA,NA,NA,2,5,NA,NA
2,35,16120,NA,1,1,4,37,2
1,31,6760,NA,NA,2,10,NA,NA
1,29,8840,NA,2,2,8,NA,NA
1,39,19240,NA,1,1,3,NA,NA
4,43,4420,NA,NA,2,5,NA,NA
2,36,75000,25,2,2,3,36,2
4,48,NA,3,1,1,4,NA,NA
1,25,NA,NA,2,2,8,NA,NA
2,27,27300,12,1,1,3,38,1
2,34,32500,NA,NA,2,5,30,2
1,61,4940,NA,4,2,7,NA,NA
1,22,2860,NA,2,2,8,NA,NA
2,59,NA,4,1,1,3,1,NA
1,31,17160,NA,2,2,3,NA,NA
2,66,NA,NA,1,2,8,30,NA
1,25,5720,NA,2,2,7,NA,NA
2,66,NA,100,2,1,3,NA,NA
2,39,2340,NA,2,2,7,50,NA
1,33,18200,NA,2,1,2,NA,NA
1,18,260,NA,NA,2,10,NA,NA
1,29,9880,NA,2,2,7,NA,NA
1,66,14040,NA,1,1,3,NA,NA
2,74,NA,NA,1,1,4,NA,NA
6,86,4420,NA,1,1,4,NA,NA
1,34,6760,NA,2,2,4,NA,NA
2,36,16120,NA,1,1,7,40,2
6,73,NA,NA,2,2,8,NA,NA
2,30,13000,NA,1,1,3,40,2
1,80,5720,NA,NA,2,5,NA,NA
6,66,16120,NA,1,1,3,NA,NA
1,35,20280,NA,1,2,6,NA,NA
2,52,15080,NA,3,2,7,NA,1
6,93,NA,NA,NA,2,9,NA,NA
1,34,9880,NA,1,2,4,NA,NA
1,39,NA,NA,2,1,4,NA,NA
2,51,780,NA,2,1,7,40,2
4,54,9880,NA,1,1,7,NA,NA
1,66,18200,20,2,1,4,NA,NA
1,20,NA,NA,1,1,7,NA,NA
1,24,NA,NA,1,NA,8,NA,NA
6,77,NA,4,2,2,6,NA,NA
2,53,9880,NA,NA,1,5,25,2
1,26,5720,5,2,2,6,NA,NA
2,53,45500,85,1,1,3,40,NA
2,68,780,NA,2,2,8,NA,NA
1,50,NA,NA,2,2,8,NA,NA
2,44,45500,3,2,2,3,1,NA
1,77,NA,NA,1,1,4,NA,NA
3,78,NA,NA,NA,2,5,NA,NA
1,56,NA,NA,NA,2,5,NA,NA
1,32,29900,NA,2,2,2,NA,NA
2,61,NA,NA,1,2,3,37,2
2,45,NA,10,2,1,3,25,2
3,24,NA,NA,NA,2,7,36,2
1,45,5720,NA,1,2,8,NA,NA
6,65,10920,NA,NA,2,9,NA,NA
2,49,75000,NA,NA,2,5,40,1
2,47,3380,25,2,1,4,25,1
